step,loss_before,loss_after,grad_norm,parameter_delta
1,14.609219551086426,11.95890998840332,7.461833896014124,0.37309171403415564
2,11.95890998840332,9.792662620544434,6.745773754029559,0.33728867329490037
3,9.792662620544434,8.021415710449219,6.099562196185718,0.30497811572589895
4,8.021415710449219,6.572621822357178,5.516252973647778,0.27581266160651363
5,6.572621822357178,5.3871612548828125,4.989607477096514,0.24948035493759685
6,5.3871612548828125,4.416839122772217,4.514018990850663,0.2257009265793582
7,4.416839122772217,3.622347116470337,4.084447665688174,0.20422238884231747
8,3.622347116470337,2.971611261367798,3.6963606712832693,0.18481800401594742
9,2.971611261367798,2.438450813293457,3.345681198769789,0.1672840744622143
10,2.438450813293457,2.0014889240264893,3.0287404831419145,0.15143703648764498
11,2.0014889240264893,1.6432595252990723,2.7422386094028117,0.13711197876427747
12,1.6432595252990723,1.3494913578033447,2.483203275739645,0.12416019465350016
13,1.3494913578033447,1.1085163354873657,2.248958174255092,0.11244796018179895
14,1.1085163354873657,0.910792887210846,2.0370936260547254,0.10185456491555757
15,0.910792887210846,0.7485135793685913,1.8454380834097106,0.09227183554272887
16,0.7485135793685913,0.6152898073196411,1.6720345879975853,0.08360172270195897
17,0.6152898073196411,0.5058916211128235,1.5151189470493602,0.07575588580699606
18,0.5058916211128235,0.4160355031490326,1.373100800628712,0.06865507770465962
19,0.4160355031490326,0.34221282601356506,1.244545934941304,0.06222739293458191
20,0.34221282601356506,0.28154850006103516,1.1281602433952551,0.05640810195566994
21,0.28154850006103516,0.23168568313121796,1.0227768454614934,0.051138943165502895
22,0.23168568313121796,0.1906919926404953,0.9273416832480663,0.046367100438220635
23,0.1906919926404953,0.1569824516773224,0.8409038418030756,0.042045282031523475
24,0.1569824516773224,0.12925684452056885,0.7626045578458551,0.03813028180233226
25,0.12925684452056885,0.10644838958978653,0.6916682345064233,0.034583300745125514
26,0.10644838958978653,0.08768084645271301,0.6273947850581247,0.031369820794302346
27,0.08768084645271301,0.07223554700613022,0.5691502613490245,0.02845746844394969
28,0.07223554700613022,0.05952175334095955,0.5163638121297429,0.025818280854817462
29,0.05952175334095955,0.049054451286792755,0.46851788973010455,0.02342585658460883
30,0.049054451286792755,0.040435001254081726,0.4251453206870163,0.02125731896461395
31,0.040435001254081726,0.03333599492907524,0.38582326785364723,0.019291222505710772
32,0.03333599492907524,0.027488095685839653,0.3501701692213072,0.017508578018524755
33,0.027488095685839653,0.02266998402774334,0.31783997548926074,0.015892064920440242
34,0.02266998402774334,0.0186996478587389,0.2885201608465013,0.014426000986272438
35,0.0186996478587389,0.01542730163782835,0.2619280538655076,0.013096423515991433
36,0.01542730163782835,0.012729830108582973,0.2378071432177655,0.011890262297478084
37,0.012729830108582973,0.010505830869078636,0.21592625222951045,0.010796261781879833
38,0.010505830869078636,0.00867187138646841,0.19607527855298754,0.009803677857166173
39,0.00867187138646841,0.007159304805099964,0.17806413733796386,0.008903134060702745
40,0.007159304805099964,0.00591159937903285,0.16172102578722586,0.008086026872819662
41,0.00591159937903285,0.004882195498794317,0.14689021317087775,0.0073444877926967375
42,0.004882195498794317,0.004032783675938845,0.13343048946370337,0.006671476411679383
43,0.004032783675938845,0.003331734100356698,0.12121450648215241,0.006060764432825518
44,0.003331734100356698,0.002753069857135415,0.11012578808942121,0.005506313066391818
45,0.002753069857135415,0.0022753356024622917,0.10006014132545489,0.005002980235872308
46,0.0022753356024622917,0.0018808618187904358,0.09092225005531294,0.0045460245986073435
47,0.0018808618187904358,0.0015550674870610237,0.08262601484267093,0.004131303324460563
48,0.0015550674870610237,0.0012859732378274202,0.07509303026002255,0.0037546247917485814
49,0.0012859732378274202,0.001063646050170064,0.06825316599650938,0.003412629631629767
50,0.001063646050170064,0.0008799302158877254,0.062041479904509776,0.003102187480838731
51,0.0008799302158877254,0.0007281137513928115,0.05639993901632877,0.0028199648828482983
52,0.0007281137513928115,0.0006026155897416174,0.05127663506384812,0.0025638281902660375
53,0.0006026155897416174,0.0004988579894416034,0.04662285762307953,0.002331181704139914
54,0.0004988579894416034,0.00041306333150714636,0.042395478112112805,0.0021197484132866283
55,0.00041306333150714636,0.000342096493113786,0.03855533001580778,0.0019278762482397812
56,0.000342096493113786,0.0002833953476510942,0.03506610948857848,0.00175331633047207
57,0.0002833953476510942,0.00023482511460315436,0.03189619786401464,0.001594739896065231
58,0.00023482511460315436,0.00019462914497125894,0.029015901778023618,0.001450813585094137
59,0.00019462914497125894,0.00016135080659296364,0.02639856185514949,0.001320032190126238
60,0.00016135080659296364,0.00013380081509239972,0.02401954864545273,0.0012010871967535707
61,0.00013380081509239972,0.00011098593677161261,0.021857582785489646,0.0010929388782038103
62,0.00011098593677161261,9.208929986925796e-05,0.01989253343668194,0.0009945762552363074
63,9.208929986925796e-05,7.643199933227152e-05,0.01810646227912248,0.0009054138675636321
64,7.643199933227152e-05,6.345480505842716e-05,0.016482722773726918,0.0008242281358775354
65,6.345480505842716e-05,5.269916437100619e-05,0.015006328801066227,0.0007502350997443587
